,task,status,tracker_ID,date,server,city,country
132,Extracting data from various sources,success,89328463620,1970-01-01,3001:7e5a:ea40:699a:55f3:d8ed:6179:36b6,Texas,USA
133,Data integration,success,89328463621,1970-01-01,aa88:829:a08f:84a9:87c0:8bcb:d71:dca1,New York,USA
134,Transforming data into a unified format,success,89328463622,1970-01-01,bf17:9758:bc23:fa47:11b1:f316:887f:5a62,Ontario,Canada
135,Data quality assurance,success,89328463623,1970-01-01,9e45:994b:7a7d:ef2e:684f:3b06:c8d6:76cc,New York,USA
136,Loading data into a data warehouse,success,89328463624,1970-01-01,d65d:390a:cdd3:762b:da5f:f773:8012:1283,Tokyo,Japan
137,Optimizing database performance,success,89328463625,1970-01-01,7c0f:2f4e:db70:84a1:456:2d6a:3b9f:427c,California,USA
138,Building data pipelines,success,89328463626,1970-01-01,f026:f696:2efa:98ab:eb98:892d:914:72ad,Tokyo,Japan
139,Data quality assurance,-,89328463627,1970-01-01,3b6b:3dcb:f84c:16f4:d2bc:1247:fb3c:91b2,Ontario,Canada
140,Data governance,success,89328463628,1970-01-01,cd1a:8786:c69b:ff8:e728:e50:8551:dba0,California,USA
141,Data governance,success,89328463629,1970-01-01,54ce:20b9:99ea:c086:5a82:cec5:3c0c:c0e5,Texas,USA
142,Loading data into a data warehouse,failed,89328463630,1970-01-01,89eb:ae21:b646:eb04:2988:db13:436f:f38a,Tokyo,Japan
143,Optimizing database performance,success,89328463631,1970-01-01,5b4f:ee7:b9b9:9171:3363:dcdc:9cfc:ffec,Tokyo,Japan
144,Extracting data from various sources,success,89328463632,1970-01-01,4ac1:3bf2:9a68:ae72:f2f6:2721:7f05:35d6,Florida,USA
145,Extracting data from various sources,success,89328463633,1970-01-01,5527:d760:f630:b3d:b8cb:92b9:8361:6ff7,Ontario,Canada
146,Loading data into a data warehouse,success,89328463634,1970-01-01,f516:afb9:1966:4f55:6660:e9eb:261c:d81b,California,USA
147,Designing and implementing data models,-,89328463635,1970-01-01,18cc:3611:8dca:a21a:4c86:ab42:5215:a6b9,Florida,USA
148,Optimizing database performance,success,89328463636,1970-01-01,b5b:980e:e114:aa58:ac67:b9a3:c02a:caf2,Tokyo,Japan
149,Extracting data from various sources,-,89328463637,1970-01-01,d12b:342e:263b:19e7:12c9:798a:5cba:78c0,Tokyo,Japan
150,Data governance,success,89328463638,1970-01-01,c71f:2f9b:b9a:e393:7469:2759:f531:afba,Queensland,Australia
151,Data integration,success,89328463639,1970-01-01,5262:ff87:6a6:9f7d:46c:6092:ad11:d441,Queensland,Australia
152,Extracting data from various sources,success,89328463640,1970-01-01,ac2:c31f:9f83:3b56:56bb:7ef6:bd49:62d3,California,USA
153,Loading data into a data warehouse,success,89328463641,1970-01-01,20a:e888:de3a:8d71:fdab:dede:dd6:855a,Ontario,Canada
154,Designing and implementing data models,success,89328463642,1970-01-01,cc1a:5f68:2445:7c73:59e:4474:6066:c4ae,Queensland,Australia
155,Loading data into a data warehouse,success,89328463643,1970-01-01,fdd8:bfbc:6dbf:3abe:93ec:7e8f:10c8:d226,New York,USA
156,Transforming data into a unified format,success,89328463644,1970-01-01,a0c7:bd76:37b6:a7d3:25dc:1c6d:379d:b0f2,Texas,USA
157,Data quality assurance,success,89328463645,1970-01-01,dcdb:b6a5:33f8:66e6:f68c:8221:671d:4f03,Paris,France
158,Transforming data into a unified format,success,89328463646,1970-01-01,733d:85ed:4704:4122:718:18c7:3a62:6f71,Tokyo,Japan
159,Transforming data into a unified format,-,89328463647,1970-01-01,fb2f:974c:f287:85be:eea9:f1ec:f85e:8c68,Tokyo,Japan
160,Extracting data from various sources,failed,89328463648,1970-01-01,4034:6240:4c8b:e2b3:73f1:59f1:b6a6:8606,New York,USA
161,Extracting data from various sources,success,89328463649,1970-01-01,9f64:9c46:6c06:d4d4:5826:e259:5065:759d,Texas,USA
162,Extracting data from various sources,success,89328463650,1970-01-01,826f:940e:4d74:e04c:3687:61d0:ae44:2b9a,New York,USA
163,Loading data into a data warehouse,success,89328463651,1970-01-01,c1c3:4bcf:591b:ad1:ca84:1851:e818:66ea,Texas,USA
164,Data quality assurance,success,89328463652,1970-01-01,572e:4225:285b:f134:e54d:9fc:d503:ccae,Florida,USA
165,Loading data into a data warehouse,-,89328463653,1970-01-01,55c:bca:497a:a6e9:e3d5:e454:e858:7ee,Tokyo,Japan
166,Loading data into a data warehouse,success,89328463654,1970-01-01,273f:d07:78be:70b2:abf5:6974:7df5:314e,Ontario,Canada
167,Optimizing database performance,success,89328463655,1970-01-01,7fa9:21fa:1956:4b50:4e24:d7a5:22b5:1b81,New York,USA
168,Extracting data from various sources,success,89328463656,1970-01-01,c174:83e9:7a64:4a14:afe5:3e16:d600:5afa,Ontario,Canada
169,Optimizing database performance,success,89328463657,1970-01-01,b86d:a1f4:27bf:504:5025:1792:568b:555b,Texas,USA
170,Extracting data from various sources,failed,89328463658,1970-01-01,d088:f493:111e:7557:1433:23b4:6bc4:b6bf,Tokyo,Japan
171,Extracting data from various sources,success,89328463659,1970-01-01,9384:eaee:4434:5902:5513:f879:a294:b888,Paris,France
172,Building data pipelines,success,89328463660,1970-01-01,b1f1:952:3fc0:5c18:8c09:a9d5:c50e:4c5a,Paris,France
173,Extracting data from various sources,success,89328463661,1970-01-01,9024:e471:17ec:e092:208a:a083:6387:9c2c,Paris,France
174,Extracting data from various sources,success,89328463662,1970-01-01,17b5:61ba:2f78:7da7:2917:38b3:560c:9950,Texas,USA
175,Optimizing database performance,success,89328463663,1970-01-01,1d09:3582:cddd:4943:cf42:2628:4106:c7d3,New York,USA
176,Loading data into a data warehouse,success,89328463664,1970-01-01,e603:85ab:9755:c3d9:7000:cbb0:33c2:97c0,Texas,USA
177,Data quality assurance,-,89328463665,1970-01-01,c409:d1a8:5209:7489:66eb:8918:17ff:f436,Florida,USA
178,Building data pipelines,success,89328463666,1970-01-01,fe28:43c4:405c:cc6:80e6:771:9add:9a70,Tokyo,Japan
179,Data quality assurance,success,89328463667,1970-01-01,1e1:ee72:93f6:dc3d:7795:133d:cf6f:1134,Tokyo,Japan
180,Data quality assurance,success,89328463668,1970-01-01,ba84:61eb:614a:43ee:e:f356:c17b:8fb1,Paris,France
181,Loading data into a data warehouse,success,89328463669,1970-01-01,af21:f2cd:6516:894:3c44:bc03:f433:134,New York,USA
182,Loading data into a data warehouse,success,89328463670,1970-01-01,6ca2:a9e3:ad0e:ab37:b6b:e730:151d:fc5e,Texas,USA
183,Data governance,-,89328463671,1970-01-01,3897:e12d:69cd:5b49:cf6f:732c:ed58:65c4,California,USA
184,Extracting data from various sources,success,89328463672,1970-01-01,9dcb:a790:4dfe:314d:55a2:6d6:e321:946f,New York,USA
185,Data quality assurance,success,89328463673,1970-01-01,78c4:f53b:38ce:a89b:8a72:e70b:49a2:7b19,Florida,USA
186,Designing and implementing data models,-,89328463674,1970-01-01,995:6a6c:2535:9c3a:a69c:94af:3b7:3da,Ontario,Canada
187,Extracting data from various sources,success,89328463675,1970-01-01,3f0e:ec18:482d:3c1e:c60e:3331:d1df:e08d,Tokyo,Japan
188,Data integration,success,89328463676,1970-01-01,18f5:7fc9:9977:50c:3c8d:e214:e711:8ca9,Tokyo,Japan
189,Building data pipelines,success,89328463677,1970-01-01,525c:b14f:12e2:18e0:633a:795:aff3:a5dd,Paris,France
190,Data integration,failed,89328463678,1970-01-01,d021:a800:4cbd:f031:8408:159:f047:c929,Florida,USA
191,Data quality assurance,success,89328463679,1970-01-01,3d11:3252:d7e3:d436:d523:c04b:94ce:f104,Tokyo,Japan
192,Designing and implementing data models,success,89328463680,1970-01-01,cfc5:75d:7ab8:da4b:2787:153e:ebed:2626,Texas,USA
193,Data integration,success,89328463681,1970-01-01,6d90:a802:6eac:17a7:2a4a:a0b9:1770:6ba2,Florida,USA
194,Data governance,success,89328463682,1970-01-01,4ff9:c92e:8922:35cc:c958:28eb:c9eb:38e3,Ontario,Canada
195,Data governance,success,89328463683,1970-01-01,7907:cf49:3ff2:57b7:1da8:7917:8a67:86ed,Tokyo,Japan
196,Data quality assurance,success,89328463684,1970-01-01,268:68f:1a55:9671:97f9:14da:5218:d412,California,USA
197,Data quality assurance,success,89328463685,1970-01-01,24c2:f0e0:d02b:ae31:1ca0:b106:f9f6:9a9,Tokyo,Japan
198,Extracting data from various sources,failed,89328463686,1970-01-01,88c1:3921:743f:8a30:b623:3d94:aca6:f26b,Tokyo,Japan
199,Designing and implementing data models,-,89328463687,1970-01-01,65b9:a968:3915:946d:1874:f86e:e7f6:1b00,Tokyo,Japan
200,Extracting data from various sources,failed,89328463688,1970-01-01,a3d1:d1f3:1b3e:8e4e:e5c7:ed76:b98f:66d5,New York,USA
201,Building data pipelines,success,89328463689,1970-01-01,4a9d:acea:93c:e4ae:78fd:e7bf:53fc:6906,Queensland,Australia
202,Transforming data into a unified format,success,89328463690,1970-01-01,7c57:72e0:43c7:2ad1:398f:3b90:8f33:9d6c,Texas,USA
203,Loading data into a data warehouse,success,89328463691,1970-01-01,6f6c:e655:8e36:6798:a402:2bb2:f3a5:f7e4,Paris,France
204,Loading data into a data warehouse,success,89328463692,1970-01-01,3433:cd30:f42a:6677:88f3:7da2:bad9:4110,Ontario,Canada
205,Extracting data from various sources,success,89328463693,1970-01-01,a06e:11ab:851f:91bc:a6b6:e8f:e337:7145,Texas,USA
206,Optimizing database performance,success,89328463694,1970-01-01,1fc7:3833:696d:17b8:e7dd:f1dc:d65f:f685,California,USA
207,Extracting data from various sources,success,89328463695,1970-01-01,85d3:674f:a871:b773:5fad:bcf6:32cb:2f86,Texas,USA
208,Building data pipelines,success,89328463696,1970-01-01,fc56:d331:6ef7:3fe8:49ef:36cb:bab4:c727,New York,USA
209,Loading data into a data warehouse,success,89328463697,1970-01-01,a236:ed7b:d520:55d:18d2:5405:b44:9dcf,Florida,USA
210,Data quality assurance,success,89328463698,1970-01-01,e0ab:d63b:14a:74e2:249e:b2d4:16bd:7f09,Ontario,Canada
211,Extracting data from various sources,success,89328463699,1970-01-01,c0e7:a799:98e9:f522:f49f:a046:4a81:e7d9,Florida,USA
212,Transforming data into a unified format,success,89328463700,1970-01-01,973a:c36e:e763:5a27:bcd2:a5e9:d86:ee80,Paris,France
213,Optimizing database performance,success,89328463701,1970-01-01,fea7:9fd6:2f2e:90b9:b96c:6b2e:6464:d3a0,Queensland,Australia
214,Data governance,success,89328463702,1970-01-01,3aa6:cada:ecaa:a8b0:2549:8012:813f:3892,Queensland,Australia
215,Optimizing database performance,success,89328463703,1970-01-01,4b86:15a7:7c32:eb9c:ab2a:d328:7eed:d7c6,Florida,USA
216,Data integration,-,89328463704,1970-01-01,1fd1:e15:fb5c:ba51:aeaa:3a3a:8f61:4c01,Tokyo,Japan
217,Extracting data from various sources,success,89328463705,1970-01-01,3cda:87da:566f:50ab:1e8a:b70f:d1b2:6e8c,Paris,France
218,Building data pipelines,success,89328463706,1970-01-01,69af:bfb3:3b0a:f7c2:4a1e:590:426b:95d6,Queensland,Australia
219,Designing and implementing data models,success,89328463707,1970-01-01,ddc6:1778:9c39:306f:1fa0:31dc:e2b1:920d,Tokyo,Japan
220,Data integration,success,89328463708,1970-01-01,7dc5:8bcf:a1dc:e95f:2333:51c0:b1c3:da00,Paris,France
